BTC,buy,7164.2372212325,0.0013958220102432133
2019/11/25 11:30:44,BTC,buy,7211.594024999999,0.0013866559827596509
2019/11/25 21:45:42,BSV,sell,109.60229752500001,0.09123896328650433
2019/11/25 23:42:42,BCH,sell,213.84182956499998,0.07014530333243597
2019/11/26 00:34:43,BTC,sell,7319.763591839999,0.0013661643404915293
2019/11/26 00:54:43,BSV,buy,107.17046602,0.09330928912946794
2019/11/26 01:14:42,BCH,buy,210.87189708000002,0.07113323400466844
2019/11/26 01:16:44,BTC,buy,7192.458387205,0.0013903452007159982
2019/11/26 02:33:42,BSV,sell,108.42147398249999,0.09223265126993267
2019/11/26 05:03:43,BSV,buy,106.1712061,0.09418749553039125
2019/11/26 09:59:06,BSV,sell,107.24284494,0.09324631406034388
2019/11/26 21:00:06,BSV,buy,106.04242394750001,0.14145282087691877
2019/11/27 03:26:05,BSV,sell,100.7063182125,0.1489479534774428
2019/11/27 06:04:04,BCH,sell,213.27606552,0.0703313799578386
2019/11/27 06:04:06,BTC,sell,7270.183945605,0.0013754810159989472
2019/11/27 12:45:08,BSV,buy,108.1250655675,0.13872823957397598
2019/11/27 14:17:05,BSV,sell,109.32729774750001,0.13720269602422333
2019/11/28 05:10:37,BSV,buy,106.64595,0.14065231731725397
2019/11/28 09:29:36,BSV,sell,107.8159176675,0.1391260244731154
2019/11/29 06:50:10,BSV,buy,110.11397043,0.1362224969404366
2019/11/30 08:18:46,BCH,buy,218.8148339025,0.06855111114945586
2019/11/30 08:18:48,BTC,buy,7598.032058870001,0.0013161302719598195
2019/12/27 17:23:43,BCH,buy,202.12257331749998,0.0742123937658243
2019/12/27 19:25:38,BCH,sell,205.461536805,0.0730063652460472
2019/12/28 02:30:39,BCH,buy,204.953022795,0.07318750314311508
2019/12/28 02:56:39,BSV,buy,91.36729361249999,0.16417253271851148
2019/12/28 10:17:38,BCH,sell,207.9322814625,0.07213887085976695
2019/12/28 11:11:38,BSV,sell,92.28195590249999,0.1625453194321994
2019/12/29 12:00:40,BSV,buy,96.16481249999998,0.15598221022892342
